State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.71734	0.68153	0.69017	0.69511	0.67412	0.65560	0.63708	0.58523	0.59017	0.60498	0.63338	0.65190	0.69141	0.69882	0.68277	0.69511	0.72351	0.69882	0.70375	0.73339	0.74079
2	3.88327	3.93528	3.95262	3.91101	3.88674	3.84513	3.81046	3.74805	3.67177	3.52962	3.31812	3.17596	2.97833	2.79457	2.73909	2.54493	2.44091	2.36810	2.32303	2.27102	2.22595
3	3.95623	3.98722	3.99996	4.01656	4.02597	4.01546	4.01546	3.99664	3.94792	3.88371	3.77411	3.66118	3.52722	3.37777	3.24657	3.09656	2.96426	2.84912	2.73122	2.64044	2.57401
4	1.49248	1.48161	1.46641	1.47292	1.46423	1.46641	1.50986	1.50334	1.47944	1.46858	1.42078	1.39689	1.38385	1.39689	1.40123	1.38603	1.40775	1.42296	1.42078	1.40558	1.41427
5	0.60685	0.60623	0.60566	0.60495	0.60685	0.61019	0.60957	0.61014	0.61534	0.62383	0.63755	0.64815	0.66117	0.67446	0.68590	0.69980	0.70837	0.71937	0.73085	0.73807	0.74308
6	1.85561	1.84404	1.84018	1.84790	1.85079	1.87681	1.88163	1.92116	1.93080	1.95682	1.92598	1.93658	1.92598	1.91826	1.89513	1.86717	1.89320	1.86139	1.84597	1.83633	1.82958
7	3.81202	3.88229	3.99355	3.99355	3.95842	3.77103	3.63050	3.57194	3.48996	3.21475	3.02151	2.83413	2.69360	2.57648	2.78729	2.77558	2.63504	2.81656	2.84584	2.83413	2.88098
8	3.74627	3.75402	3.55644	3.40148	3.30850	3.24651	3.29300	3.20777	3.15353	3.01019	2.94046	2.95983	3.05281	3.02181	3.04118	3.05281	3.10317	2.95595	2.92496	3.01406	3.06830
9	2.11595	2.08205	2.12321	2.12321	2.15468	2.21279	2.24426	2.30478	2.30236	2.24910	2.17405	2.20068	2.07237	2.09416	2.02879	2.07237	2.03605	2.10384	2.12079	1.98037	1.95858
10	1.36947	1.35179	1.35822	1.39519	1.36626	1.31161	1.33251	1.41287	1.44181	1.49967	1.59611	1.60415	1.67005	1.72792	1.75042	1.77935	1.84365	1.85008	1.80829	1.88062	1.88544
