State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.28281	2.15096	1.95700	1.64536	1.22912	0.93601	0.68866	0.56662	0.46201	0.43368	0.39554	0.40535	0.43368	0.46855	0.60475	1.05260	2.03110	3.12183	4.00663	4.74323	5.13659
2	1.48715	1.30049	1.11689	0.96695	0.85373	0.79254	0.78642	0.78948	0.78642	0.82313	0.91493	0.94859	0.90575	0.97307	0.93635	1.02203	1.18115	1.48715	1.99511	2.50306	3.03244
3	0.57403	0.53299	0.49489	0.46362	0.44066	0.42063	0.39083	0.38203	0.38497	0.38741	0.39327	0.40255	0.42014	0.43773	0.45190	0.46069	0.48512	0.52615	0.57305	0.63021	0.71619
4	0.85511	0.82060	0.80335	0.78993	0.75733	0.72474	0.67681	0.62312	0.57519	0.56944	0.60970	0.61737	0.60395	0.62312	0.64613	0.68831	0.71707	0.73432	0.76692	0.76500	0.80910
5	0.65243	0.63407	0.60569	0.56834	0.52489	0.46965	0.41506	0.36937	0.33881	0.32189	0.31408	0.31575	0.32262	0.33113	0.34468	0.36397	0.38940	0.41619	0.44104	0.45940	0.47330
6	4.70711	4.84664	4.91895	4.93681	4.89853	4.71052	4.31493	3.72452	3.15027	2.73086	2.59899	2.53519	2.73086	3.04733	3.52119	3.90827	4.21794	4.41872	4.50294	4.53612	4.47486
7	4.41855	4.88366	5.92240	7.62264	9.94303	13.74143	19.14187	24.23225	27.45184	29.28128	28.23220	26.60431	25.23999	23.68962	21.05399	17.22975	13.22464	10.05672	7.62781	5.89657	4.77513
8	4.47218	5.14233	6.19541	7.95283	10.93428	15.55690	21.65658	28.83669	35.53470	38.37939	40.99842	43.94569	43.29606	40.62916	34.85088	26.03302	18.30586	12.95839	9.62135	7.38867	5.87401
9	3.79681	4.13440	4.65147	4.96342	5.09803	4.58096	3.82886	3.12591	2.50842	2.03622	1.71572	1.36531	1.47001	2.09391	4.00407	7.35433	9.10210	9.39482	8.87775	8.08933	7.43338
10	2.73076	2.94213	3.25422	3.76207	4.13515	4.34227	3.92946	2.89674	1.88245	1.84841	1.72783	1.16891	1.10791	1.24551	1.59448	2.04843	2.30803	2.19454	1.99310	1.83280	1.75904
