State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.83206	0.22935	0.52489	2.21967	0.63345	0.39555	1.48297	0.17689
2	1.00848	1.05373	4.49165	2.27634	3.31847	0.91496	1.15224	0.17227
3	6.31672	0.52643	4.35813	2.19994	3.77284	0.39328	0.51795	0.30555
4	1.60953	0.99447	1.47286	0.72398	1.42093	0.60972	0.68687	0.81637
5	79.48644	0.12931	0.53974	0.83024	0.63762	0.31409	0.47130	1.14321
6	3.62739	4.43674	1.72285	1.00209	1.92618	2.59907	4.06816	0.82750
7	0.59714	47.37537	5.99276	1.21353	3.02183	28.23307	15.34156	0.47691
8	0.90256	40.10391	6.66380	1.57416	2.94076	40.99627	19.24819	0.25941
9	1.44430	0.70226	1.92075	1.63081	2.17428	1.71578	4.30707	0.34261
10	2.17538	0.68475	1.17925	1.02428	1.59628	1.72788	2.43065	0.54993
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
