State (Emission order)	H3K4me1	H3K4me2	H3K4me3	H2AFZ	H3K9ac	H3K27ac	H3K79me2	H3K36me3	H3K9me3	H3K27me3
1	0.0986763183017595	0.005231681933942439	3.1439444927052276E-4	0.0018562510727490292	0.04356745913027563	0.0805404882861312	0.6298876366739624	0.045752234393940855	0.002313717975020781	0.0021481973816271306
2	0.10335586706807608	0.007240104875359391	0.0026101656279892012	6.420446701816304E-4	0.05368328887144148	0.2457245681773846	0.6246277596486863	0.8341718072954383	0.014863922383690815	0.002311122345386705
3	0.00331974614618914	7.11159875256097E-5	2.246773865878709E-5	3.0302194900661813E-4	0.03731015652283341	0.02530236447438539	0.027434801446003906	0.6051550239645674	0.00247372275690414	0.001746585133658984
4	0.0014929096857875328	4.3568191464598617E-4	0.04420528522660017	0.0013579505936727459	0.007017819755608374	0.0019625737644048433	0.00890891280459454	0.05866592895867858	0.4791395518156905	0.002166780014014073
5	0.0010947408300067552	3.575524098368918E-5	3.873014057971311E-6	0.0050081624378616	0.01792697545637418	1.6198528712292062E-4	0.0015749182852785354	9.761995865369993E-4	0.004716089955962829	0.005560453473617867
6	0.017486654420857818	0.004746588074317572	2.596415087528871E-4	0.01660299797920465	0.03334162308193219	2.831101915454483E-4	0.0033536216990625307	0.0026530058761534514	0.026001829563699657	0.6496150246367488
7	0.5935235918522729	0.9610446530484678	0.6672665625389654	0.6126229641265291	0.25593628446166256	0.03820615877561368	0.030268514253192397	0.0021508145473173694	0.036838877516889794	0.5359071569816513
8	0.5701200975531666	0.9987794583735219	0.9890417285875672	0.7330233991328369	0.8249511710855211	0.8922418070398739	0.43891065780727373	0.003468230261643619	0.0010521318318166227	0.008280819903741505
9	0.9432770578107076	0.6886065335313419	0.42800342978310724	0.10106719633819504	0.19701887206168195	0.7569523107990815	0.4187832293594487	0.05637862131664576	0.0013780314052585505	0.0016601999821047972
10	0.5913745061948004	0.07855399745174528	0.010838560031260165	0.12585652962211744	0.0674344775241837	0.14644348267161	0.016685941178722838	0.003252979693302335	0.0012273691004354465	0.006214277246721336
