State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9304113964266536	0.02460673335732709	0.005010908581749739	2.5121523315684675E-4	0.008236768846593061	9.049649047183243E-5	2.254287332486286E-4	4.0250936783609503E-4	0.02787901079285409	0.0028855321701089075
2	0.06505599247368596	0.8634420325085014	0.05518876991331025	6.316566663947288E-4	0.0	8.553969364065234E-5	0.0	0.0	0.015596008744466943	0.0
3	0.0020058872940998344	0.009294916574787664	0.9695499709488398	4.509077595364473E-4	0.01569331478167142	1.1797500214464668E-4	1.3855234897181959E-5	1.4226284308093484E-6	5.715471877996552E-5	0.0028145950568123916
4	3.6432337093198126E-4	3.205005874229013E-4	0.001469423074193886	0.9149494068338336	0.08135999757420258	3.5019911211719496E-4	6.84841982418233E-4	3.778294913402831E-5	8.060914028401711E-5	3.8291537546153654E-4
5	2.8535258434822514E-4	0.0	0.0012494722613386525	0.0018608692750206788	0.9887943041840908	0.0025626894864108967	3.296991933824929E-4	2.0624216261909582E-5	0.0	0.004896988799146247
6	7.68464538674838E-5	1.587584631510341E-5	1.7142260023540347E-4	1.9467017714988358E-4	0.05350009124596075	0.9291746847724708	0.01508866214814535	0.0	0.0	0.001777746755855375
7	0.001085446453786723	0.0	1.619069870835085E-4	0.0020225261816470383	0.042546694219739015	0.09651132489477209	0.7413186975384829	0.05316343417765931	2.4733835891039706E-5	0.06316523571093847
8	0.001387136923590039	0.0	5.6193640436206883E-5	0.0	0.0022049722888834323	0.0	0.03411070284657463	0.8210876520146141	0.1063675241833654	0.034785818102536205
9	0.05474672185190791	0.011166967518662975	2.795049109020264E-4	1.8492815906350139E-4	0.0	0.0	0.0	0.0642985508057519	0.7726303225803904	0.09669300417332118
10	0.003485074282008153	0.0	0.007383402149293309	2.906358251851044E-4	0.16019034434831186	0.0028317070929323295	0.016252823549831805	0.013720864959079669	0.05926578580583505	0.7365793619875227
